"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","PPG","RPG","APG"
"13",2009,"Anthony Randolph","GS","PF",0,63,808.6,787,138.7,300.4,32.2,32.2,138.7,297.6,32.5,0,1.9,0,70.4,98.3,49.9,89.2,163.8,253,6,15.8,12.2,34.2,29.3,51.6,55.8,98.3,347.8,343.6,35.3,12.7,3.3,0.9,2.2,6.8,15.2,0,3.9,0,5.5,4,0.5
"14",2009,"Hilton Armstrong","NO","PF",0,70,472.2,761,96.2,171.5,39.1,39.1,96.2,170.1,39.5,0,1,0,43.2,68.3,44.1,56.5,79.5,135.9,4.4,6.1,5.2,20.2,18.1,31.4,55.8,126.2,235.6,201.5,40.8,5.1,2.1,0.6,1.7,15.1,11.4,0,0.5,0,3.4,1.9,0.3
"15",2009,"Daequan Cook","MIA","SF",0,75,749.5,1278,168.7,449.6,26.1,34.4,62,174.2,24.8,106.6,275.3,27,34.2,39,61,13.2,118.5,131.7,0.6,5.4,3,49.5,27.2,4.9,29.3,87.1,478.1,466.7,35.7,5,3,0.6,0.2,2.9,12.8,0,0,0,6.4,1.8,0.7
"16",2009,"Richard Hamilton","DET","SG",0,67,1306.1,1588,324.8,727,31.2,33.5,276,594.5,32.3,48.8,132.4,25.6,155.4,183.3,59.1,30.7,113.6,144.3,1.1,4.2,2.6,207,27.9,1.9,92.7,122.7,853.8,807.6,36.9,11.4,16.7,0.5,0.1,5,19,0,1.5,0,12.7,2.2,3.1
"17",2009,"Chris Duhon","NY","PG",0,79,1367,2025,200,474.7,29.3,35.8,111.5,248.1,31.3,88.5,226.5,27.3,124.8,145.7,59.7,31.4,140.1,171.5,0.8,3.8,2.2,394.5,50.2,3.4,154,87.8,613.4,538.8,39.7,6.3,19.4,0.6,0.1,15.5,10.4,0,6.3,0,7.8,2.2,5
"18",2009,"Jared Jeffries","NY","PF",0,56,549.4,912,83.6,190.3,30.7,30.7,82.9,181.9,31.8,0.5,5.8,4,38.3,62.7,42.6,89.2,71.8,161,5,4.3,4.7,55.8,32.8,23,45.3,106.6,206.3,217.9,33,4.9,4.2,0.9,0.9,12,6.1,0,0.5,0,3.7,2.9,1
"19",2009,"Sasha Pavlovic","CLE","SF",0,66,413.6,733,80.9,191.7,29.4,35.5,47.4,110.1,30,33.5,81.5,28.6,17.4,37.6,32.3,21.6,66.9,88.5,1.8,5.1,3.5,50.2,15.3,11.2,33.5,85,212.6,208.2,35.5,4.2,5.1,0.5,0.6,6.7,10.9,0,0,0,3.2,1.3,0.8
"20",2009,"Brandon Roy","POR","SF",0,78,2005.3,2023,441.2,918.6,33.5,35.6,383.4,765.3,34.9,57.9,153.3,26.3,290,352,57.4,72.5,185.4,257.9,2.1,5.6,3.8,278.8,61.3,15.3,105.9,88.5,1230.2,1073.5,39.9,16,17.7,0.8,0.3,4.4,19.3,0,1.5,0,15.8,3.3,3.6
"21",2009,"Rasheed Wallace","DET","PF",0,66,1224.3,1479,210.5,501.8,29.2,34.6,131.7,279.5,32.8,78.8,222.3,24.7,54.4,70.4,53.8,39,302.5,341.5,1.5,17.1,6.7,63.4,43.2,59.9,41.1,137.3,554.1,532.8,36.2,10,3.4,0.8,1.5,3.5,13,0,10.5,0,8.4,5.2,1
"22",2009,"Dominic McGuire","WAS","PF",0,79,938.6,1444,97.6,225.8,30.1,30.3,96.2,223,30,1,1.9,34.8,51.6,71.1,50.5,78.8,219.6,298.3,3,12.8,5.9,138,43.2,51.6,64.1,106.6,248.1,257.1,33.6,5.3,6.7,0.8,1.4,13.9,4.9,0,1.9,0,3.1,3.8,1.7
"23",2009,"Troy Murphy","IND","PF",0,73,1674.3,1730,253.7,534.6,33.1,40.4,141.5,285.1,34.6,112.2,249.5,31.4,105.9,128.2,57.6,101.8,498.4,600.1,3.1,22.3,13.3,119.9,40.4,23.7,79.5,157.5,725.6,591,42.8,13.2,5.1,0.6,0.5,5.8,11.8,0,34.2,0,9.9,8.2,1.6
"24",2009,"Joel Przybilla","POR","C",0,82,1068.4,1361,117.1,187.5,43.6,43.6,117.1,186.8,43.7,0,0.5,0,78.1,117.8,46.2,142.2,357.6,499.7,6.2,23.1,15.9,18.8,23.7,67.6,54.4,149.9,312.3,239.3,45.4,10.3,1,0.5,1.9,12.9,5,0,5.3,0,3.8,6.1,0.2
"25",2009,"Marcus Camby","LAC","PF",0,62,1347,1342,177,345.7,35.7,35.7,176.3,342.9,35.8,0.5,1.9,17.4,92,126.9,50.5,112.2,368.7,480.9,2.7,17,6.6,88.5,35.5,92,64.8,89.9,446.8,401.5,38.8,13.3,4.5,0.5,1.3,6.7,10.7,0,17.4,0,7.2,7.8,1.4
"26",2009,"DeSagana Diop","CHA","C",0,75,471.6,722,51.6,119.2,30.2,30.2,51.6,119.2,30.2,0,0,0,15.3,46,23.2,79.5,110.8,190.3,6.2,12.2,10.5,22.3,20.2,39,27.2,89.2,118.5,139.4,29.6,4.7,2.1,0.7,1.9,11.4,5.2,0,0,0,1.6,2.5,0.3
"27",2009,"Josh Howard","DAL","SF",0,52,1015.6,1158,246,545.8,31.4,34,205.6,428.7,33.5,40.4,117.1,24,119.9,153.3,54.5,41.1,142.2,183.3,2,6.8,4.4,57.9,38.3,20.9,62,94.1,652.4,613.2,37.1,12.1,4.2,0.8,0.6,4.5,18.7,0,2.9,0,12.5,3.5,1.1
"28",2009,"Chris Quinn","MIA","PG",0,66,450.3,671,82.2,201.4,28.4,35.2,43.2,105.9,28.4,39,95.5,28.5,32.8,40.4,56.5,3.9,46.7,52.3,0.5,4.1,2.3,92,16.7,1,23,55.1,236.3,219.2,37.6,6.3,15,0.7,0.1,4.6,11.9,0,0,0,3.6,0.8,1.4
"29",2009,"Quentin Richardson","NY","SG",0,72,923.7,1319,182.6,464.9,27.4,33.7,99,235.6,29.3,83.6,229.3,25.4,62,81.5,53,49.5,172.9,222.3,1.9,10.3,4.5,81.5,32.8,3.4,51.6,92,510.9,500.8,35.5,6,4.6,0.6,0.1,4.5,12.7,0,0.5,0,7.1,3.1,1.1
"30",2009,"Dwayne Jones","CHA","PF",0,6,17,36,1.9,3.4,39.8,39.8,1.9,3.4,39.8,0,0,0,1.9,2.9,46.5,2.9,2.9,5.8,6.9,6.8,6.9,0,0,0.5,1.9,2.9,5.8,4.7,44.1,3.9,0,0,0.8,20.4,6,0,0,0,1,1,0
"31",2009,"Renaldo Balkman","DEN","PF",0,53,462.5,543,76.7,137.3,38.9,39.2,75.3,132.4,39.6,1,3.4,19.9,29.3,45.3,45,59.9,81.5,141.5,6.4,11.8,10.5,23.7,32.8,16,24.4,68.3,184,157.2,40.8,12.3,3.3,1.5,1.1,6.5,10.4,0,1,0,3.5,2.7,0.4
"32",2009,"Delonte West","CLE","PG",0,64,1014.6,1501,198.6,434.9,31.9,36.9,135.2,276,34.2,63.4,158.9,27.8,62.7,75.3,58.1,21.6,119.9,141.5,0.9,4.4,2.7,157.5,65.5,6.3,64.1,87.1,523.4,468,39,6.7,11.6,1.2,0.2,5.8,11.7,0,0,0,8.2,2.2,2.5
"33",2009,"Von Wafer","HOU","PG",0,63,619.7,853,159.6,356.9,31.2,35.5,115,242.6,33,44.6,114.3,27.2,61.3,81.5,52.4,13.2,65.5,78.8,0.9,4.2,2.6,49.5,27.9,3.9,41.1,49.5,425.2,392.7,37.7,10.3,5,0.9,0.2,4.6,16.6,0,0,0,6.7,1.3,0.8
"34",2009,"Jamaal Magloire","MIA","C",0,55,347.4,493,45.3,91.3,34.6,34.6,45.3,91.3,34.6,0,0,0,20.2,41.8,33.7,57.2,97.6,154.7,6.7,16.6,13.1,15.3,5.3,17.4,22.3,84.3,110.8,109.7,35.2,5.2,2.3,0.4,1.4,11.8,6.1,0,0.5,0,2,2.8,0.3
"35",2009,"Mehmet Okur","UTA","C",0,72,1502.3,1679,300.4,618.9,33.8,37.4,237.7,478.1,34.6,62.7,140.8,31.1,190.3,232.8,56.9,86.4,301.8,388.2,3,15,6.7,83.6,37.6,36.9,92,152.6,853.8,721.4,41.3,13,4,0.6,0.8,5.5,15.2,0,16,0,11.9,5.4,1.2
"36",2009,"Sean Williams","BKN","PF",0,33,171.7,255,20.9,50.2,29.1,29.1,20.9,50.2,29.1,0,0,0,13.9,22.3,43.6,23.7,31.4,55.1,5.3,10.3,6.2,6.3,3.4,20.2,13.9,50.2,55.8,60,32.4,4.3,2.6,0.5,3.1,13.1,6.6,0,0,0,1.7,1.7,0.2
"37",2009,"Brian Skinner","LAC","PF",0,51,413.4,588,64.1,142.9,31.3,31.3,64.1,141.5,31.6,0,1,0,20.9,32.8,44.5,50.2,91.3,141.5,2.7,6.7,4.4,18.8,11.8,36.2,30,65.5,149.2,157.3,33.1,5.3,2.1,0.3,1.2,11.2,6.8,0,1.5,0,2.9,2.8,0.4
"38",2009,"T.J. Ford","IND","PG",0,74,1418.3,1573,287.9,636.4,31.5,32.8,263.5,563.9,32.5,24.4,72.5,23.5,170.8,195.9,60.8,41.1,139.4,180.5,1.4,4.8,3.1,273.2,62,11.2,125.5,125.5,770.9,722.5,37.2,12.3,19.2,1,0.3,10.3,16.4,0,1.9,0,10.4,2.4,3.7
"39",2009,"Craig Smith","MIN","PF",0,74,836.6,1018,201.4,358.3,39.2,39.2,201.4,357.6,39.2,0,0.5,0,117.1,172.9,47.2,68.3,129.6,197.9,3.7,10.8,5.5,55.1,21.6,13.2,73.2,128.2,520,434.3,41.8,12,4.7,0.5,0.5,10.1,15.8,0,0.5,0,7,2.7,0.7
"40",2009,"Jason Kapono","TOR","SF",0,80,688,1276,181.9,421,30.1,35.8,113.6,261.4,30.3,68.3,159.6,29.8,23.7,29.3,56.5,18.1,95.5,113.6,0.8,4.2,2.5,73.2,15.3,1.5,48.8,100.4,455.8,433.9,36.6,4.6,4.4,0.3,0.1,4.9,12.2,0,0,0,5.7,1.4,0.9
"41",2009,"Anthony Carter","DEN","PG",0,78,883.1,1245,116.4,269,30.2,32.1,101.8,207.7,34.2,14.6,61.3,16.7,39.7,54.4,51,27.9,115,142.9,1.3,5.1,3.2,253.7,66.9,6.3,108,99,287.2,293,34.2,5.6,20.8,1.3,0.3,18.8,10,0,0,0,3.7,1.8,3.3
"42",2009,"Mike Bibby","ATL","PG",0,79,1524.8,1909,304.6,700.5,30.3,36,188.2,402.2,32.6,116.4,298.3,27.2,94.1,119.2,55,26.5,167.3,193.8,0.8,5,2.9,273.2,68.3,5.3,89.2,101.1,819.7,752.9,37.9,11.3,16.9,0.9,0.1,5.1,14.5,0,1.9,0,10.4,2.5,3.5
"43",2009,"Larry Hughes","NY","SF",0,55,773.9,1031,156.1,388.2,28,32.8,103.9,253.7,28.5,52.3,134.5,27.1,81.5,101.1,56.2,11.2,99.7,110.8,0.6,5.3,3,82.9,50.2,6.8,49.5,66.9,446.1,432.7,35.9,6.8,6.2,1.2,0.3,5,14.6,0,0,0,8.1,2,1.5
"44",2009,"Brian Scalabrine","BOS","PF",0,39,170.8,351,33.5,79.5,29.3,36.7,16.7,36.9,31.6,16.7,42.5,27.4,11.2,12.5,62,3.4,30,34.8,0.9,4.8,2.9,12.5,3.4,4.9,5.8,50.9,94.8,85,38.8,3.7,2.6,0.4,0.8,4.4,6,0,0,0,2.4,0.9,0.3
"45",2009,"Tony Battie","ORL","C",0,77,563.2,838,110.1,225.1,34.1,34.3,108.7,218.9,34.6,1,4.4,15.5,37.6,57.2,45.9,64.1,129.6,193.8,4.3,11.8,6.3,21.6,18.1,17.4,32.1,78.1,259.3,250.3,36.1,5.9,2.1,0.5,0.7,5.5,10.9,0,0,0,3.4,2.5,0.3
"46",2009,"Andres Nocioni","SAC","PF",0,76,1034.5,1388,208.4,488.6,29.8,35.9,122,271.8,31.3,86.4,216.8,27.8,101.1,127.6,55.2,37.6,214,251.6,1.5,12.6,5.1,71.1,27.2,23,78.8,181.9,604.3,544.7,38.7,6.2,4.1,0.5,0.6,6.1,14.1,0,1.5,0,8,3.3,0.9
"47",2009,"Jeff Foster","IND","PF",0,74,956.7,1273,123.4,246,34.9,35.1,122,241.2,35.3,1,3.4,19.9,66.9,101.8,45.9,149.9,204.2,354.1,6.2,12.4,10.7,90.6,36.9,34.2,61.3,159.6,315,290.8,37.8,6.7,4.8,0.7,1,12.1,5.9,0,2.4,0,4.3,4.8,1.2
"48",2009,"Yi Jianlian","BKN","SF",0,61,743.1,990,133.1,348.5,26.6,30,99.7,250.9,27.7,33.5,97.6,23.9,66.2,85.7,53.8,46.7,180.5,227.2,2.7,15.3,6.6,41.8,20.2,25.1,48.8,109.4,365.9,386.2,33,5.4,3.4,0.5,1,5.4,14.4,0,1.5,0,6,3.7,0.7
"49",2009,"Michael Redd","MIL","SF",0,33,683.3,838,173.6,381.3,31.7,36.2,124.8,248.1,35.1,48.8,133.1,25.5,91.3,112.2,56.7,16.7,57.9,74.6,1.1,4.1,2.6,61.3,24.4,1,36.9,31.4,487.2,430.6,39.5,13,6.4,0.7,0.1,3.8,17.5,0,0.5,0,14.8,2.3,1.9
"50",2009,"Maurice Evans","ATL","SF",0,80,713.4,1282,145,336,30.1,37.2,76.7,163.1,32.8,68.3,172.9,27.5,41.8,50.9,57.3,61.3,108,169.4,2.7,4.8,3.8,37.6,34.8,4.9,30,113.6,400.1,358.3,38.9,5.4,2.2,0.7,0.2,3.7,6.9,0,0.5,0,5,2.1,0.5
"51",2009,"Brad Miller","CHI","C",0,70,1311.8,1464,203.5,428,33.2,34.5,187.5,388.9,33.6,16,39,28.6,156.1,189.6,57.4,104.6,275.3,379.9,4,15.4,10.6,163.1,36.2,25.1,90.6,155.4,579.2,511.4,39.5,12.1,12.7,0.6,0.6,10.5,12.9,0,11.2,0,8.3,5.4,2.3
"52",2009,"Erick Dampier","DAL","C",0,80,983.8,1280,126.9,195.2,45.3,45.3,126.9,195.2,45.3,0,0,0,62.7,98.3,44.5,150.6,243.3,393.8,6.6,15.1,12.3,53.7,16.7,66.2,51.6,133.1,316.4,238.4,46.3,11,2.9,0.3,1.9,12.4,5.1,0,2.9,0,4,4.9,0.7
"53",2009,"Bobby Simmons","BKN","PF",0,71,755.8,1205,138,307.4,31.3,40.4,56.5,124.8,31.6,81.5,182.6,31.2,30,40.4,51.6,50.2,142.9,193.1,2.4,6.9,4.6,64.1,34.8,4.9,43.2,129.6,387.5,325.2,41.5,5.8,4.1,0.8,0.2,5.7,10,0,0.5,0,5.5,2.7,0.9
"54",2009,"James Singleton","DAL","PF",0,62,495.9,616,81.5,154,36.9,39.1,72.5,126.2,40.1,6.3,27.9,22.7,46.7,54.4,59.9,62,112.2,174.2,5.7,14.4,11.3,11.8,18.1,19.5,25.1,76.7,218.9,178,42.8,11.6,1.4,0.8,1.1,6,10.6,0,3.4,0,3.5,2.8,0.2
"55",2009,"Jamario Moon","MIA","SF",0,80,980.3,1441,154.7,330.4,32.6,37.4,109.4,202.8,37.6,45.3,127.6,24.7,47.4,55.8,59.2,40.4,214,254.4,1.6,12,5,66.2,59.9,41.8,30,92.7,402.2,354.9,39.5,6.6,3.4,1.1,1.1,3.8,6,0,0.5,0,5,3.2,0.8
"56",2009,"Mikki Moore","BOS","PF",0,70,480.3,837,79.5,143.6,38.5,38.5,79.5,143.6,38.5,0,0,0,33.5,42.5,54.9,53,126.9,179.8,3.6,12.4,6.1,36.9,11.8,13.2,33.5,145,192.4,162.3,41.3,4.5,3.3,0.3,0.6,11.9,5.1,0,0.5,0,2.7,2.6,0.5
"57",2009,"Morris Almond","UTA","SF",0,25,101.6,177,23,56.5,28.4,30.9,19.5,44.6,30.5,2.4,11.8,20.5,14.6,18.1,56.3,4.4,18.8,25.1,2,6.1,4.1,3.4,1.9,1.9,11.2,21.6,64.1,64.4,34.6,3.9,2,0.4,0.6,10.3,13.4,0,0,0,2.6,1,0.1
"58",2009,"Kelenna Azubuike","GS","SF",0,74,1255.6,1655,273.2,589,32.3,36.2,207.7,442.6,32.7,65.5,146.4,31.2,128.9,159.6,56.3,78.1,179.8,257.9,2.5,5.7,4.1,81.5,39.7,34.8,66.2,127.6,740.9,659.2,39.2,11,3.7,0.6,0.7,4.4,13.1,0,2.4,0,10,3.5,1.1
"59",2009,"Dan Gadzuric","MIL","PF",0,67,518.9,656,81.5,170.1,33.5,33.5,81.5,168.7,33.7,0,1,0,25.8,47.4,37.9,66.2,111.5,177.7,5.5,14.7,11.2,27.2,22.3,30,28.6,112.9,188.9,190.9,34.5,6.2,3.2,0.9,1.8,6.3,10.5,0,1.9,0,2.8,2.7,0.4
"60",2009,"Zydrunas Ilgauskas","CLE","C",0,65,1154.2,1230,238.4,504.6,32.9,33.7,227.9,477.4,33.2,10.5,27.2,26.8,96.9,121.3,55.7,109.4,232.1,341.5,5.3,15.1,11.5,44.6,19.5,58.5,62.7,127.6,584.1,558,36.5,12.3,3.1,0.4,1.8,4.9,16.7,0,6.8,0,9,5.3,0.7
"61",2009,"Eddie House","BOS","PG",0,81,765.6,1031,173.6,390.3,31,40.4,68.3,153.3,31,105.2,237,30.9,29.3,36.9,55.2,5.3,101.8,109.4,0.5,5.6,3.1,64.1,42.5,3.4,38.3,78.8,481.6,406.6,41.3,10.9,5,1.1,0.2,4.2,14.1,0,0,0,5.9,1.4,0.8
"62",2009,"Shaquille O'Neal","PHO","C",0,75,1692,1570,356.9,586.2,42.4,42.4,356.9,585.5,42.5,0,0.5,0,215.4,361.7,41.5,130.3,310.9,441.2,4.9,15.5,11.4,87.8,34.2,75.3,117.1,176.3,929.1,745.3,43.4,16.4,4.3,0.5,1.7,6.6,16.9,0,20.9,0,12.4,5.9,1.2
"63",2009,"Fabricio Oberto","SA","PF",0,54,278,471,42.5,72.5,40.9,40.9,42.5,71.8,41.3,0,0.5,0,13.9,24.4,39.8,45.3,53.7,99,5.6,6.5,6.1,41.1,3.4,5.3,26.5,66.2,99,83.2,41.4,5.1,6.3,0.3,0.6,16.8,5.5,0,0,0,1.8,1.8,0.8
"64",2009,"Yao Ming","HOU","C",0,77,1922.8,1804,394.5,719.3,38.2,38.2,393.8,718.6,38.2,0.5,0.5,69.7,265.6,306.7,60.4,142.2,388.2,530.4,4.6,16.8,11.9,95.5,20.9,104.6,163.1,179.1,1055.3,854.2,43.1,15.7,4.9,0.3,2.1,11.2,18.4,0,26.5,0,13.7,6.9,1.2
"65",2009,"Theo Ratliff","PHI","C",0,46,258,403,23.7,44.6,37,37,23.7,44.6,37,0,0,0,14.6,24.4,41.8,32.1,57.2,89.2,4.6,11.9,6.4,4.4,11.8,32.8,6.8,53.7,62,55.3,39,5.4,1.1,0.8,3.2,10.4,3.6,0,0,0,1.3,1.9,0.1
"66",2009,"Joe Smith","CLE","PF",0,57,585.5,767,108.7,232.1,32.6,33,106.6,227.2,32.7,1.5,3.4,29.9,41.1,57.2,50.2,62,121.3,183.3,4.4,12.9,6.7,28.6,11.8,27.9,17.4,85,260.7,257.2,35.3,6.8,2.9,0.4,1.3,3.1,11.1,0,0.5,0,4.6,3.2,0.5
"67",2009,"Darius Songaila","WAS","PF",0,77,748.2,1060,169.4,318.5,37.1,37.1,169.4,317.8,37.2,0,0.5,0,55.8,62.7,62,52.3,105.9,158.2,2.7,5.9,4.3,65.5,44.6,13.9,51.6,139.4,394.5,346.1,39.7,6.8,5,1.1,0.5,6.3,11.9,0,0,0,5.1,2.1,0.9
"68",2009,"Peja Stojakovic","NO","SF",0,61,906.3,1455,200,501.1,27.8,34.9,99,233.5,29.6,101.1,267.6,26.3,64.8,72.5,62.3,30.7,153.3,184,1.2,6.2,3.7,52.3,36.2,1.5,35.5,70.4,566,533,37,5.9,2.9,0.7,0.1,3,13.2,0,0.5,0,9.3,3,0.9
"69",2009,"Pops Mensah-Bonsu","TOR","PF",0,22,185.8,197,27.2,71.8,26.4,26.4,27.2,70.4,26.9,0,1,0,23,33.5,48,38.3,40.4,78.8,16.4,16.8,16.6,2.9,4.9,2.4,13.2,30,77.4,86.5,31.2,10.5,1.6,0.9,0.6,6.4,17.2,0,0,0,3.5,3.6,0.1
"70",2009,"James Posey","NO","SF",0,75,909.2,1492,150.6,365.2,28.7,36.5,69.7,146.4,33.2,80.9,218.9,25.7,83.6,101.8,57.3,26.5,225.8,252.3,1,12.7,5,57.2,40.4,14.6,55.1,150.6,465.6,410,39.6,5.1,2.9,0.7,0.4,5.7,10.6,0,1.5,0,6.2,3.4,0.8
"71",2009,"Antonio McDyess","DET","PF",0,62,1101.2,1301,186.8,365.9,35.5,35.5,186.8,365.9,35.5,0,0,0,41.8,59.9,48.7,128.9,294.1,423.1,5.6,19,13.4,57.9,28.6,34.8,35.5,133.1,415.4,392.3,36.9,11.1,3.6,0.6,1,4,11,0,11.2,0,6.7,6.8,0.9
"72",2009,"Charlie Bell","MIL","SF",0,70,705.6,1242,151.2,365.2,28.9,34.6,90.6,197.9,31.9,60.6,167.3,25.2,46,55.8,57.5,22.3,71.1,93.4,1,3.4,2.2,105.2,34.8,3.4,53,96.2,409.1,389.8,36.6,5,6.4,0.7,0.2,5.8,11.2,0,0,0,5.8,1.3,1.5
"73",2009,"Rodney Carney","MIN","SF",0,67,541,835,122.7,294.8,29,35.6,67.6,137.3,34.3,55.1,157.5,24.4,34.8,46,52.8,25.1,62.7,87.8,1.6,4.4,3,18.1,31.4,20.2,30,65.5,335.3,315.1,37.1,6,1.7,1,0.9,4.2,13.1,0,0,0,5,1.3,0.3
"74",2009,"Jarron Collins","UTA","C",0,26,64.1,140,11.2,24.4,31.9,31.9,11.2,24.4,31.9,0,0,0,3.9,5.3,50.7,13.9,11.8,25.8,5.8,4.9,5.3,3.4,1,0.5,4.4,24.4,27.9,27.8,34.8,3.1,2.4,0.2,0.2,12.8,5.3,0,0,0,1.1,1,0.1
"75",2009,"Al Thornton","LAC","PF",0,71,1325.8,1850,326.9,732.5,31.1,31.8,313,677.5,32.2,13.9,55.1,17.6,164.5,218.2,52.6,85,171.5,256.5,1.5,4,2.6,71.8,41.1,43.2,90.6,158.2,832.2,828.5,35,6.3,2.9,0.4,0.4,4.8,15.3,0,0.5,0,11.7,3.6,1
